Symbol,Start,End,Permutation,Elliotticity
BITCOIN,2019-07-26,2020-07-27,0,39.7443
BITCOIN,2019-07-26,2020-07-27,1,38.4281
BITCOIN,2019-07-26,2020-07-27,2,31.8181
BITCOIN,2019-07-26,2020-07-27,3,34.4455
BITCOIN,2019-07-26,2020-07-27,4,33.4706
BITCOIN,2019-07-26,2020-07-27,5,36.961
BITCOIN,2019-07-26,2020-07-27,6,28.0635
BITCOIN,2019-07-26,2020-07-27,7,38.2324
BITCOIN,2019-07-26,2020-07-27,8,35.6855
BITCOIN,2019-07-26,2020-07-27,9,33.6333
BITCOIN,2019-07-26,2020-07-27,10,36.9006
BITCOIN,2020-07-27,2021-07-27,0,44.8777
BITCOIN,2020-07-27,2021-07-27,1,35.3796
BITCOIN,2020-07-27,2021-07-27,2,38.4214
BITCOIN,2020-07-27,2021-07-27,3,32.2737
BITCOIN,2020-07-27,2021-07-27,4,37.9663
BITCOIN,2020-07-27,2021-07-27,5,35.684
BITCOIN,2020-07-27,2021-07-27,6,28.2956
BITCOIN,2020-07-27,2021-07-27,7,40.2195
BITCOIN,2020-07-27,2021-07-27,8,39.7542
BITCOIN,2020-07-27,2021-07-27,9,42.2891
BITCOIN,2020-07-27,2021-07-27,10,38.2923
BITCOIN,2021-07-27,2022-07-27,0,47.7699
BITCOIN,2021-07-27,2022-07-27,1,38.037
BITCOIN,2021-07-27,2022-07-27,2,37.9476
BITCOIN,2021-07-27,2022-07-27,3,38.5402
BITCOIN,2021-07-27,2022-07-27,4,38.9958
BITCOIN,2021-07-27,2022-07-27,5,39.2581
BITCOIN,2021-07-27,2022-07-27,6,37.4348
BITCOIN,2021-07-27,2022-07-27,7,39.7359
BITCOIN,2021-07-27,2022-07-27,8,34.5253
BITCOIN,2021-07-27,2022-07-27,9,34.6761
BITCOIN,2021-07-27,2022-07-27,10,38.4054
BITCOIN,2022-07-27,2023-07-27,0,42.0403
BITCOIN,2022-07-27,2023-07-27,1,39.1473
BITCOIN,2022-07-27,2023-07-27,2,42.7654
BITCOIN,2022-07-27,2023-07-27,3,35.0714
BITCOIN,2022-07-27,2023-07-27,4,26.0297
BITCOIN,2022-07-27,2023-07-27,5,37.1171
BITCOIN,2022-07-27,2023-07-27,6,38.9534
BITCOIN,2022-07-27,2023-07-27,7,36.7153
BITCOIN,2022-07-27,2023-07-27,8,37.9046
BITCOIN,2022-07-27,2023-07-27,9,40.4321
BITCOIN,2022-07-27,2023-07-27,10,37.4523
DJIA,1928-10-01,1929-10-03,0,44.5351
DJIA,1928-10-01,1929-10-03,1,41.1391
DJIA,1928-10-01,1929-10-03,2,37.5267
DJIA,1928-10-01,1929-10-03,3,43.0377
DJIA,1928-10-01,1929-10-03,4,39.3898
DJIA,1928-10-01,1929-10-03,5,40.7685
DJIA,1928-10-01,1929-10-03,6,39.9999
DJIA,1928-10-01,1929-10-03,7,41.2869
DJIA,1928-10-01,1929-10-03,8,41.0568
DJIA,1928-10-01,1929-10-03,9,39.4134
DJIA,1928-10-01,1929-10-03,10,35.7558
DJIA,1929-10-03,1930-10-07,0,42.4063
DJIA,1929-10-03,1930-10-07,1,40.2981
DJIA,1929-10-03,1930-10-07,2,36.6192
DJIA,1929-10-03,1930-10-07,3,38.7284
DJIA,1929-10-03,1930-10-07,4,44.3042
DJIA,1929-10-03,1930-10-07,5,36.1874
DJIA,1929-10-03,1930-10-07,6,37.4482
DJIA,1929-10-03,1930-10-07,7,35.383
DJIA,1929-10-03,1930-10-07,8,15.3859
DJIA,1929-10-03,1930-10-07,9,43.2942
DJIA,1929-10-03,1930-10-07,10,38.2952
DJIA,1930-10-07,1931-10-07,0,45.0677
DJIA,1930-10-07,1931-10-07,1,32.3901
DJIA,1930-10-07,1931-10-07,2,35.1417
DJIA,1930-10-07,1931-10-07,3,42.7806
DJIA,1930-10-07,1931-10-07,4,41.3656
DJIA,1930-10-07,1931-10-07,5,38.5787
DJIA,1930-10-07,1931-10-07,6,39.9346
DJIA,1930-10-07,1931-10-07,7,34.2226
DJIA,1930-10-07,1931-10-07,8,37.2286
DJIA,1930-10-07,1931-10-07,9,39.042
DJIA,1930-10-07,1931-10-07,10,37.8257
DJIA,1931-10-07,1932-10-08,0,43.9822
DJIA,1931-10-07,1932-10-08,1,35.9372
DJIA,1931-10-07,1932-10-08,2,34.9179
DJIA,1931-10-07,1932-10-08,3,41.4403
DJIA,1931-10-07,1932-10-08,4,39.5938
DJIA,1931-10-07,1932-10-08,5,36.1863
DJIA,1931-10-07,1932-10-08,6,44.6579
DJIA,1931-10-07,1932-10-08,7,35.7153
DJIA,1931-10-07,1932-10-08,8,38.7871
DJIA,1931-10-07,1932-10-08,9,36.7915
DJIA,1931-10-07,1932-10-08,10,38.9907
DJIA,1932-10-10,1933-10-24,0,41.4878
DJIA,1932-10-10,1933-10-24,1,29.5792
DJIA,1932-10-10,1933-10-24,2,48.0375
DJIA,1932-10-10,1933-10-24,3,33.3346
DJIA,1932-10-10,1933-10-24,4,33.8752
DJIA,1932-10-10,1933-10-24,5,37.7476
DJIA,1932-10-10,1933-10-24,6,42.559
DJIA,1932-10-10,1933-10-24,7,33.7477
DJIA,1932-10-10,1933-10-24,8,41.5096
DJIA,1932-10-10,1933-10-24,9,39.4418
DJIA,1932-10-10,1933-10-24,10,43.45
DJIA,1933-10-24,1934-10-26,0,42.5342
DJIA,1933-10-24,1934-10-26,1,40.754
DJIA,1933-10-24,1934-10-26,2,39.3458
DJIA,1933-10-24,1934-10-26,3,37.1629
DJIA,1933-10-24,1934-10-26,4,38.0035
DJIA,1933-10-24,1934-10-26,5,35.1629
DJIA,1933-10-24,1934-10-26,6,42.6422
DJIA,1933-10-24,1934-10-26,7,35.9845
DJIA,1933-10-24,1934-10-26,8,36.1767
DJIA,1933-10-24,1934-10-26,9,40.3515
DJIA,1933-10-24,1934-10-26,10,46.8754
DJIA,1934-10-26,1935-10-30,0,46.1214
DJIA,1934-10-26,1935-10-30,1,39.6078
DJIA,1934-10-26,1935-10-30,2,33.82
DJIA,1934-10-26,1935-10-30,3,40.891
DJIA,1934-10-26,1935-10-30,4,38.9792
DJIA,1934-10-26,1935-10-30,5,35.8047
DJIA,1934-10-26,1935-10-30,6,43.0787
DJIA,1934-10-26,1935-10-30,7,36.5157
DJIA,1934-10-26,1935-10-30,8,41.8888
DJIA,1934-10-26,1935-10-30,9,43.4622
DJIA,1934-10-26,1935-10-30,10,39.5542
DJIA,1935-10-30,1936-10-29,0,46.7585
DJIA,1935-10-30,1936-10-29,1,38.813
DJIA,1935-10-30,1936-10-29,2,41.7718
DJIA,1935-10-30,1936-10-29,3,41.4174
DJIA,1935-10-30,1936-10-29,4,32.1928
DJIA,1935-10-30,1936-10-29,5,43.5312
DJIA,1935-10-30,1936-10-29,6,40.4842
DJIA,1935-10-30,1936-10-29,7,37.0167
DJIA,1935-10-30,1936-10-29,8,36.0455
DJIA,1935-10-30,1936-10-29,9,35.8489
DJIA,1935-10-30,1936-10-29,10,40.8066
DJIA,1936-10-29,1937-11-04,0,33.8612
DJIA,1936-10-29,1937-11-04,1,31.6427
DJIA,1936-10-29,1937-11-04,2,27.453
DJIA,1936-10-29,1937-11-04,3,38.0984
DJIA,1936-10-29,1937-11-04,4,25.5798
DJIA,1936-10-29,1937-11-04,5,31.9989
DJIA,1936-10-29,1937-11-04,6,36.3513
DJIA,1936-10-29,1937-11-04,7,41.3974
DJIA,1936-10-29,1937-11-04,8,41.3476
DJIA,1936-10-29,1937-11-04,9,23.6144
DJIA,1936-10-29,1937-11-04,10,37.8224
DJIA,1937-11-04,1938-11-03,0,45.4941
DJIA,1937-11-04,1938-11-03,1,41.9989
DJIA,1937-11-04,1938-11-03,2,40.3308
DJIA,1937-11-04,1938-11-03,3,34.8128
DJIA,1937-11-04,1938-11-03,4,38.7799
DJIA,1937-11-04,1938-11-03,5,36.8683
DJIA,1937-11-04,1938-11-03,6,37.8297
DJIA,1937-11-04,1938-11-03,7,34.5629
DJIA,1937-11-04,1938-11-03,8,41.304
DJIA,1937-11-04,1938-11-03,9,40.115
DJIA,1937-11-04,1938-11-03,10,34.8214
DJIA,1938-11-03,1939-11-09,0,32.6504
DJIA,1938-11-03,1939-11-09,1,44.0149
DJIA,1938-11-03,1939-11-09,2,40.836
DJIA,1938-11-03,1939-11-09,3,42.3203
DJIA,1938-11-03,1939-11-09,4,39.56
DJIA,1938-11-03,1939-11-09,5,42.9126
DJIA,1938-11-03,1939-11-09,6,34.3981
DJIA,1938-11-03,1939-11-09,7,37.2907
DJIA,1938-11-03,1939-11-09,8,41.5357
DJIA,1938-11-03,1939-11-09,9,36.4632
DJIA,1938-11-03,1939-11-09,10,40.7648
DJIA,1939-11-09,1940-11-09,0,34.5399
DJIA,1939-11-09,1940-11-09,1,33.334
DJIA,1939-11-09,1940-11-09,2,38.0774
DJIA,1939-11-09,1940-11-09,3,29.1035
DJIA,1939-11-09,1940-11-09,4,35.7485
DJIA,1939-11-09,1940-11-09,5,34.1023
DJIA,1939-11-09,1940-11-09,6,35.7214
DJIA,1939-11-09,1940-11-09,7,29.6838
DJIA,1939-11-09,1940-11-09,8,35.945
DJIA,1939-11-09,1940-11-09,9,32.0851
DJIA,1939-11-09,1940-11-09,10,26.1762
DJIA,1940-11-12,1941-11-14,0,43.9469
DJIA,1940-11-12,1941-11-14,1,44.0715
DJIA,1940-11-12,1941-11-14,2,40.4118
DJIA,1940-11-12,1941-11-14,3,37.148
DJIA,1940-11-12,1941-11-14,4,36.7135
DJIA,1940-11-12,1941-11-14,5,42.056
DJIA,1940-11-12,1941-11-14,6,39.5781
DJIA,1940-11-12,1941-11-14,7,37.5727
DJIA,1940-11-12,1941-11-14,8,41.7565
DJIA,1940-11-12,1941-11-14,9,43.1815
DJIA,1940-11-12,1941-11-14,10,41.4998
DJIA,1941-11-14,1942-11-17,0,44.3724
DJIA,1941-11-14,1942-11-17,1,35.7936
DJIA,1941-11-14,1942-11-17,2,36.9112
DJIA,1941-11-14,1942-11-17,3,28.1067
DJIA,1941-11-14,1942-11-17,4,34.6902
DJIA,1941-11-14,1942-11-17,5,39.3233
DJIA,1941-11-14,1942-11-17,6,35.804
DJIA,1941-11-14,1942-11-17,7,36.6591
DJIA,1941-11-14,1942-11-17,8,34.8212
DJIA,1941-11-14,1942-11-17,9,38.3024
DJIA,1941-11-14,1942-11-17,10,39.7597
DJIA,1942-11-17,1943-11-20,0,40.1378
DJIA,1942-11-17,1943-11-20,1,37.3412
DJIA,1942-11-17,1943-11-20,2,38.7746
DJIA,1942-11-17,1943-11-20,3,39.3871
DJIA,1942-11-17,1943-11-20,4,41.5897
DJIA,1942-11-17,1943-11-20,5,37.0896
DJIA,1942-11-17,1943-11-20,6,38.6343
DJIA,1942-11-17,1943-11-20,7,32.5716
DJIA,1942-11-17,1943-11-20,8,33.8525
DJIA,1942-11-17,1943-11-20,9,44.1077
DJIA,1942-11-17,1943-11-20,10,41.6418
DJIA,1943-11-22,1944-11-18,0,42.4949
DJIA,1943-11-22,1944-11-18,1,39.7913
DJIA,1943-11-22,1944-11-18,2,42.8288
DJIA,1943-11-22,1944-11-18,3,32.3248
DJIA,1943-11-22,1944-11-18,4,36.8389
DJIA,1943-11-22,1944-11-18,5,41.4754
DJIA,1943-11-22,1944-11-18,6,37.1408
DJIA,1943-11-22,1944-11-18,7,43.7693
DJIA,1943-11-22,1944-11-18,8,39.7915
DJIA,1943-11-22,1944-11-18,9,33.2222
DJIA,1943-11-22,1944-11-18,10,36.2902
DJIA,1944-11-20,1945-11-28,0,35.0425
DJIA,1944-11-20,1945-11-28,1,38.8893
DJIA,1944-11-20,1945-11-28,2,29.8148
DJIA,1944-11-20,1945-11-28,3,38.7031
DJIA,1944-11-20,1945-11-28,4,36.2895
DJIA,1944-11-20,1945-11-28,5,42.7333
DJIA,1944-11-20,1945-11-28,6,43.1164
DJIA,1944-11-20,1945-11-28,7,40.9553
DJIA,1944-11-20,1945-11-28,8,40.4268
DJIA,1944-11-20,1945-11-28,9,33.8144
DJIA,1944-11-20,1945-11-28,10,33.6226
DJIA,1945-11-28,1946-12-03,0,42.3765
DJIA,1945-11-28,1946-12-03,1,35.4389
DJIA,1945-11-28,1946-12-03,2,35.5129
DJIA,1945-11-28,1946-12-03,3,38.7066
DJIA,1945-11-28,1946-12-03,4,34.7854
DJIA,1945-11-28,1946-12-03,5,37.9516
DJIA,1945-11-28,1946-12-03,6,35.3892
DJIA,1945-11-28,1946-12-03,7,37.1532
DJIA,1945-11-28,1946-12-03,8,36.4147
DJIA,1945-11-28,1946-12-03,9,34.2791
DJIA,1945-11-28,1946-12-03,10,39.6085
DJIA,1946-12-03,1947-12-05,0,44.1043
DJIA,1946-12-03,1947-12-05,1,39.0363
DJIA,1946-12-03,1947-12-05,2,37.8548
DJIA,1946-12-03,1947-12-05,3,40.4594
DJIA,1946-12-03,1947-12-05,4,35.5842
DJIA,1946-12-03,1947-12-05,5,38.5755
DJIA,1946-12-03,1947-12-05,6,35.086
DJIA,1946-12-03,1947-12-05,7,43.7424
DJIA,1946-12-03,1947-12-05,8,40.283
DJIA,1946-12-03,1947-12-05,9,23.838
DJIA,1946-12-03,1947-12-05,10,36.4109
DJIA,1947-12-05,1948-12-09,0,42.1735
